NAME,ADDRESS,CITY,STATE,ZIP,ENGINE,LOCATION,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,:@computed_region_awaf_s7ux
E8,212 W CERMAK RD,CHICAGO,IL,60616,E8,"212 W CERMAK RD
CHICAGO, IL 60616
(41.85313331810226, -87.63235666216515)",40,35,21194,3,26,8
E73,8630 S EMERALD AVE,CHICAGO,IL,60620,E73,"8630 S EMERALD AVE
CHICAGO, IL 60620
(41.73693577387957, -87.64245532798658)",59,70,21554,529,13,18
E14,1129 W CHICAGO AVE,CHICAGO,IL,60642,E14,"1129 W CHICAGO AVE
CHICAGO, IL 60642
(41.895977019578105, -87.65622466882277)",49,25,22620,522,46,41
E71,6239 N CALIFORNIA AVE,CHICAGO,IL,60659,E71,"6239 N CALIFORNIA AVE
CHICAGO, IL 60659
(41.99514651466264, -87.69953001132356)",50,20,4450,31,27,42
E108,4625 N MILWAUKEE AVE,CHICAGO,IL,60630,E108,"4625 N MILWAUKEE AVE
CHICAGO, IL 60630
(41.964650420624565, -87.75785762001762)",48,15,21869,259,50,20
E23,1915 S DAMEN AVE,CHICAGO,IL,60608,E23,"1915 S DAMEN AVE
CHICAGO, IL 60608
(41.85561895838222, -87.67592085764691)",43,33,14920,366,26,8
E18,1360 N BLUE ISLAND AVE,CHICAGO,IL,60608,E18,"1360 N BLUE ISLAND AVE
CHICAGO, IL 60608
(41.864503979120165, -87.65556796459875)",43,29,14920,760,26,48
E106,3401 N ELSTON AVE,CHICAGO,IL,60618,E106,"3401 N ELSTON AVE
CHICAGO, IL 60618
(41.943065521032246, -87.7032142448537)",39,22,21538,425,20,2
E16,4005 S DEARBORN ST,CHICAGO,IL,60609,E16,"4005 S DEARBORN ST
CHICAGO, IL 60609
(41.821900941759, -87.62749769240351)",37,4,14924,414,9,12
E1,419 S WELLS ST,CHICAGO,IL,60607,E1,"419 S WELLS ST
CHICAGO, IL 60607
(41.87604804340882, -87.63333692317708)",35,38,14917,92,26,48
E116,5955 S ASHLAND AVE,CHICAGO,IL,60636,E116,"5955 S ASHLAND AVE
CHICAGO, IL 60636
(41.78569136830025, -87.66426233667036)",23,65,22257,277,2,44
E117,4900 W CHICAGO AVE,CHICAGO,IL,60651,E117,"4900 W CHICAGO AVE
CHICAGO, IL 60651
(41.895036609573054, -87.74827707033056)",5,26,4299,585,45,4
E112,3801 N DAMEN AVE,CHICAGO,IL,60618,E112,"3801 N DAMEN AVE
CHICAGO, IL 60618
(41.95075472438277, -87.67830302464209)",53,46,21538,644,18,13
E102,7340 N CLARK ST,CHICAGO,IL,60626,E102,"7340 N CLARK ST
CHICAGO, IL 60626
(42.014640160686284, -87.67502361090747)",9,10,21853,489,5,3
E101,2240 W 69TH ST,CHICAGO,IL,60636,E101,"2240 W 69TH ST
CHICAGO, IL 60636
(41.768394081407024, -87.67985164411793)",23,64,22257,370,31,17
E65,3002 W 42ND ST,CHICAGO,IL,60632,E65,"3002 W 42ND ST
CHICAGO, IL 60632
(41.8172974388628, -87.69950400664642)",56,55,22248,196,3,49
E95,4003 W WEST END AVE,CHICAGO,IL,60624,E95,"4003 W WEST END AVE
CHICAGO, IL 60624
(41.88334382548296, -87.72576410502936)",30,27,21572,659,23,11
E123,2215 W 51ST ST,CHICAGO,IL,60609,E123,"2215 W 51ST ST
CHICAGO, IL 60609
(41.801170483375124, -87.67986218548822)",37,61,14924,775,3,19
E110,2322 W FOSTER AVE,CHICAGO,IL,60625,E110,"2322 W FOSTER AVE
CHICAGO, IL 60625
(41.97593934922963, -87.6875836047776)",20,6,21849,664,24,46
E60,1150 E 55TH ST,CHICAGO,IL,60615,E60,"1150 E 55TH ST
CHICAGO, IL 60615
(41.79515197581412, -87.59751892663527)",10,8,21192,441,33,1
E4,548 W DIVISION ST,CHICAGO,IL,60610,E4,"548 W DIVISION ST
CHICAGO, IL 60610
(41.903989978859165, -87.64291470278913)",54,37,14926,309,46,41
E98,202 E CHICAGO AVE,CHICAGO,IL,60611,E98,"202 E CHICAGO AVE
CHICAGO, IL 60611
(41.89706519923356, -87.62259901814724)",6,37,21182,233,11,22
E124,4426 N KEDZIE AVE,CHICAGO,IL,60625,E124,"4426 N KEDZIE AVE
CHICAGO, IL 60625
(41.961690670919346, -87.7082930624585)",20,14,21849,24,20,2
E104,11641 S AVENUE O,CHICAGO,IL,60617,E104,"11641 S AVENUE O
CHICAGO, IL 60617
(41.68384838570316, -87.5400210564776)",25,52,21202,787,47,47
E122,101 E 79TH ST,CHICAGO,IL,60619,E122,"101 E 79TH ST
CHICAGO, IL 60619
(41.75098315968846, -87.62135205388734)",61,40,21546,406,32,31
E86,3918 N HARLEM AVE,CHICAGO,IL,60634,E86,"3918 N HARLEM AVE
CHICAGO, IL 60634
(41.95114251165066, -87.80721934061404)",52,17,22254,392,19,25
E97,13359 S BURLEY AVE,CHICAGO,IL,60633,E97,"13359 S BURLEY AVE
CHICAGO, IL 60633
(41.652591152628624, -87.54470437664087)",26,52,22250,787,47,47
E74,10615 S EWING AVE,CHICAGO,IL,60617,E74,"10615 S EWING AVE
CHICAGO, IL 60617
(41.702187603130206, -87.53522906326324)",25,49,21202,715,47,47
E38,3949 W 16TH ST,CHICAGO,IL,60623,E38,"3949 W 16TH ST
CHICAGO, IL 60623
(41.85850227061717, -87.7242763667799)",57,30,21569,752,14,36
E15,8026 S KEDZIE AVE,CHICAGO,IL,60652,E15,"8026 S KEDZIE AVE
CHICAGO, IL 60652
(41.74747486194539, -87.70238006254415)",8,69,4300,199,30,6
E126,7313 S KINGSTON AVE,CHICAGO,IL,60649,E126,"7313 S KINGSTON AVE
CHICAGO, IL 60649
(41.76239663139161, -87.56393561616461)",24,39,22538,245,37,43
E103,25 S LAFLIN ST,CHICAGO,IL,60607,E103,"25 S LAFLIN ST
CHICAGO, IL 60607
(41.880715524740886, -87.66412071624002)",44,29,14917,91,46,48
E32,5559 S NARRAGANSETT AVE,CHICAGO,IL,60638,E32,"5559 S NARRAGANSETT AVE
CHICAGO, IL 60638
(41.79123564423197, -87.78169288573983)",7,53,22268,590,15,35
E57,1244 N WESTERN AVE,CHICAGO,IL,60622,E57,"1244 N WESTERN AVE
CHICAGO, IL 60622
(41.9038275429672, -87.68713245676875)",4,25,21560,302,49,10
E78,1052 W WAVELAND AVE,CHICAGO,IL,60613,E78,"1052 W WAVELAND AVE
CHICAGO, IL 60613
(41.94920789049237, -87.65640453322862)",53,57,21186,691,25,38
E88,3637 W 59TH ST,CHICAGO,IL,60629,E88,"3637 W 59TH ST
CHICAGO, IL 60629
(41.785702152345344, -87.71468959394757)",58,63,21867,339,6,23
E107,1101 S CALIFORNIA AVE,CHICAGO,IL,60612,E107,"1101 S CALIFORNIA AVE
CHICAGO, IL 60612
(41.86810702989009, -87.6956239669264)",28,30,21184,16,23,11
E64,7659 S PULASKI RD,CHICAGO,IL,60652,E64,"7659 S PULASKI RD
CHICAGO, IL 60652
(41.75300608968367, -87.72192154895255)",8,69,4300,571,30,6
E84,21 W 59TH ST,CHICAGO,IL,60621,E84,"21 W 59TH ST
CHICAGO, IL 60621
(41.786898250644306, -87.62642113677177)",11,7,21559,164,4,53
E120,11035 S HOMEWOOD AVE,CHICAGO,IL,60643,E120,"11035 S HOMEWOOD AVE
CHICAGO, IL 60643
(41.693205775399605, -87.66882538049862)",13,74,22212,378,42,33
E49,4401 S ASHLAND AVE,CHICAGO,IL,60609,E49,"4401 S ASHLAND AVE
CHICAGO, IL 60609
(41.81404218586455, -87.66497197801137)",37,59,14924,123,48,26
E94,5758 W GRACE ST,CHICAGO,IL,60634,E94,"5758 W GRACE ST
CHICAGO, IL 60634
(41.949448311266025, -87.77069385620601)",52,15,22254,311,19,25
E35,1901 N DAMEN AVE,CHICAGO,IL,60647,E35,"1901 N DAMEN AVE
CHICAGO, IL 60647
(41.91622975167794, -87.67720585176635)",4,23,21560,179,40,16
E75,11958 S STATE ST,CHICAGO,IL,60628,E75,"11958 S STATE ST
CHICAGO, IL 60628
(41.67673026792751, -87.62265939976201)",19,50,21861,60,43,30
